datum,max_temp,min_temp,gem_temp,neerslag_mm,max_windsnelheid,gem_windsnelheid,dorp,data_bron,etl_timestamp,jaar,maand,jaar_maand
2015-01-01,5.1,1.8,3.3,0.5,40.6,28.8,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-02,9.7,4.9,7.0,5.4,45.3,38.6,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-03,5.8,4.0,5.1,1.5,33.5,25.1,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-04,6.6,2.7,4.9,0.0,27.1,20.7,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-05,4.1,2.3,3.4,0.0,19.8,17.6,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-06,5.8,2.0,3.3,0.6,22.7,16.8,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-07,6.3,3.2,4.7,0.0,33.2,22.1,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-08,7.5,3.5,6.3,12.2,34.2,28.2,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-09,10.7,5.5,8.2,4.7,52.4,37.9,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-10,11.4,5.3,9.0,3.2,51.6,44.4,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-11,6.5,4.2,5.3,1.1,46.0,40.5,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-12,9.6,6.6,8.2,6.4,46.5,39.7,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-13,9.8,6.2,8.3,17.6,41.9,29.4,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-14,5.9,2.8,4.2,2.9,32.6,27.1,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-15,9.3,3.6,7.2,9.9,46.5,37.7,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-16,6.9,4.7,5.8,1.6,44.0,27.2,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-17,5.0,1.6,3.2,1.1,27.9,20.3,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-18,2.5,1.0,1.8,5.6,23.5,14.0,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-19,2.6,0.4,1.3,1.2,5.5,2.8,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-20,2.6,-0.5,0.9,0.0,10.2,8.0,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-21,1.9,-0.8,0.5,0.0,18.0,14.6,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-22,0.9,-2.1,-0.6,0.0,21.9,17.4,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-23,1.3,-2.0,-0.6,0.0,23.7,10.0,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-24,4.9,-1.6,1.8,7.1,30.2,22.6,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-25,5.2,2.4,3.8,1.0,17.5,13.8,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-26,6.8,4.1,5.1,1.5,30.9,22.2,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-27,6.2,3.3,4.5,0.0,26.5,19.2,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-28,6.1,3.7,4.7,7.7,46.1,32.7,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-29,3.3,0.4,2.0,7.2,38.8,26.1,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-30,4.1,0.5,1.7,0.8,18.1,14.5,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-01-31,4.0,-0.0,1.9,0.1,18.5,12.7,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,1,2015-01
2015-02-01,4.6,-1.0,1.5,0.0,16.9,12.0,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
2015-02-02,4.4,0.8,2.4,0.1,21.8,17.5,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
2015-02-03,4.9,0.0,1.7,0.0,15.3,11.3,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
2015-02-04,3.4,-1.0,0.5,0.2,13.4,9.9,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
2015-02-05,1.6,-2.2,-0.6,0.3,20.5,14.7,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
2015-02-06,1.2,-1.8,-0.8,0.0,23.4,20.0,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
2015-02-07,5.8,-2.5,2.2,0.0,30.8,15.2,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
2015-02-08,5.7,3.0,4.5,0.0,33.4,25.6,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
2015-02-09,6.8,4.5,5.8,0.0,26.2,22.9,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
2015-02-10,6.7,3.7,5.4,0.0,20.0,13.6,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
2015-02-11,5.8,2.4,4.0,0.0,12.0,7.3,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
2015-02-12,4.7,0.7,2.8,0.0,12.9,7.0,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
2015-02-13,8.4,-0.2,4.0,0.0,26.5,19.0,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
2015-02-14,9.1,3.3,5.7,0.0,22.8,17.2,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
2015-02-15,4.5,-0.0,2.3,0.0,24.5,18.6,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
2015-02-16,7.1,-1.2,2.3,0.0,12.2,10.4,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
2015-02-17,7.1,1.7,3.9,0.1,17.7,11.0,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
2015-02-18,5.0,0.2,2.2,0.0,23.2,17.7,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
2015-02-19,5.3,0.7,3.1,0.0,31.4,27.2,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
2015-02-20,6.1,3.1,4.9,14.2,32.1,20.4,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
2015-02-21,5.0,1.7,3.4,7.4,21.4,15.6,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
2015-02-22,6.2,0.6,3.4,0.7,40.0,20.8,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
2015-02-23,8.1,2.2,5.0,6.0,40.2,28.3,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
2015-02-24,6.8,3.4,4.7,2.3,34.7,28.3,Emmeloord,Open-Meteo,2025-12-24T13:24:55.470493,2015,2,2015-02
